chunk_size,overlap,num_chunks,overall_score,criteria_score_stdev,neighbor_score_stdev,composite
750,300,52,61.147990430622016,6.7611,1.893,59.255
750,120,37,60.66005183413077,7.7712,1.5226,59.1375
750,200,43,60.60344896331738,7.6477,1.7011,58.9023
750,100,36,59.576570972886756,7.4927,1.3311,58.2455
2000,300,14,58.23340111642743,8.3527,0.6416,57.5918
2000,120,13,57.441822169059016,7.8292,0.4146,57.0272
2000,200,13,57.530059808612435,8.1863,0.5257,57.0044
1500,300,20,58.4716028708134,7.6249,1.6597,56.8119
1500,100,17,57.95423444976077,8.1547,1.405,56.5492
2000,100,13,56.96951754385966,8.1195,0.4679,56.5016
1500,120,17,57.93345693779904,8.0636,1.468,56.4655
1500,200,18,57.074477671451355,7.5687,1.5747,55.4998
